epoch,step,train_loss,validation_loss
49,1247,0.5614052414894104,
49,1249,,0.5594280362129211
50,1271,0.552784264087677,
50,1274,,0.5548686385154724
51,1295,0.5515931248664856,
51,1299,,0.5548686385154724
52,1319,0.5286827087402344,
52,1324,,0.5504483580589294
53,1343,0.5938039422035217,
53,1349,,0.5504483580589294
54,1367,0.549607515335083,
54,1374,,0.5496923923492432
55,1391,0.5689660310745239,
55,1399,,0.5496923923492432
56,1415,0.5056881308555603,
56,1424,,0.5451749563217163
57,1439,0.5169247388839722,
57,1449,,0.5451749563217163
58,1463,0.5690624713897705,
58,1474,,0.5456098318099976
59,1487,0.531715989112854,
59,1499,,0.5456098318099976
60,1511,0.5414546132087708,
60,1524,,0.5424408912658691
61,1535,0.512334406375885,
61,1549,,0.5424408912658691
62,1559,0.5328331589698792,
62,1574,,0.5417641997337341
63,1583,0.5156023502349854,
63,1599,,0.5417641997337341
64,1607,0.5714089274406433,
64,1624,,0.5397935509681702
65,1631,0.5228577852249146,
65,1649,,0.5397935509681702
66,1655,0.4730333387851715,
66,1674,,0.5400450825691223
67,1679,0.5159610509872437,
67,1699,,0.5400450825691223
68,1703,0.45338335633277893,
68,1724,,0.5387309193611145
69,1727,0.5872340202331543,
69,1749,,0.5387309193611145
70,1751,0.5386145114898682,
70,1774,,0.5393660068511963
71,1775,0.5274844765663147,
71,1799,0.517902672290802,
71,1799,,0.5393660068511963
72,1823,0.548554539680481,
72,1824,,0.5369969010353088
73,1847,0.5388824939727783,
73,1849,,0.5369969010353088
74,1871,0.5134925842285156,
74,1874,,0.5362889170646667
75,1895,0.5415295362472534,
75,1899,,0.5362889170646667
76,1919,0.5000829696655273,
76,1924,,0.5373520851135254
77,1943,0.5094311833381653,
77,1949,,0.5373520851135254
78,1967,0.48138153553009033,
78,1974,,0.5394310355186462
79,1991,0.5504434108734131,
79,1999,,0.5394310355186462
80,2015,0.4990497827529907,
80,2024,,0.5375881791114807
81,2039,0.5184014439582825,
81,2049,,0.5375881791114807
82,2063,0.4958606958389282,
82,2074,,0.5357344150543213
83,2087,0.4499969482421875,
83,2099,,0.5357344150543213
84,2111,0.45624202489852905,
84,2124,,0.5364192128181458
85,2135,0.5338109135627747,
85,2149,,0.5364192128181458
86,2159,0.47189584374427795,
86,2174,,0.5386046767234802
87,2183,0.5421277284622192,
87,2199,,0.5386046767234802
88,2207,0.43834441900253296,
88,2224,,0.5386679768562317
89,2231,0.4852585196495056,
89,2249,,0.5386679768562317
90,2255,0.47246021032333374,
90,2274,,0.5349828600883484
91,2279,0.48075947165489197,
91,2299,,0.5349828600883484
92,2303,0.5152896642684937,
92,2324,,0.5347325205802917
93,2327,0.49717870354652405,
93,2349,,0.5347325205802917
94,2351,0.4485953748226166,
94,2374,,0.5350342392921448
95,2375,0.46842527389526367,
95,2399,0.3043706715106964,
95,2399,,0.5350342392921448
96,2423,0.48107829689979553,
96,2424,,0.5356640219688416
97,2447,0.5311145782470703,
97,2449,,0.5356640219688416
98,2471,0.4313700497150421,
98,2474,,0.5356865525245667
99,2495,0.4655689597129822,
99,2499,,0.5356865525245667
100,2519,0.47641870379447937,
100,2524,,0.5376319885253906
101,2543,0.43010413646698,
101,2549,,0.5376319885253906
102,2567,0.4754214882850647,
102,2574,,0.5361398458480835
