epoch,step,train_loss,validation_loss
0,23,0.7052702307701111,
0,24,,0.6909647583961487
1,47,0.6935641169548035,
1,49,,0.6909647583961487
2,71,0.6951279044151306,
2,74,,0.6793713569641113
3,95,0.6903570890426636,
3,99,,0.6793713569641113
4,119,0.6893947720527649,
4,124,,0.6672520637512207
5,143,0.6818447113037109,
5,149,,0.6672520637512207
6,167,0.6607607007026672,
6,174,,0.653788685798645
7,191,0.6550129055976868,
7,199,,0.653788685798645
8,215,0.6323264241218567,
8,224,,0.6397841572761536
9,239,0.6444871425628662,
9,249,,0.6397841572761536
10,263,0.6371493935585022,
10,274,,0.6265924572944641
11,287,0.6173185110092163,
11,299,,0.6265924572944641
12,311,0.6360311508178711,
12,324,,0.6190192699432373
13,335,0.6557781100273132,
13,349,,0.6190192699432373
14,359,0.6305888891220093,
14,374,,0.6148341298103333
15,383,0.6187965869903564,
15,399,,0.6148341298103333
16,407,0.6452511548995972,
16,424,,0.6109889149665833
17,431,0.6032970547676086,
17,449,,0.6109889149665833
18,455,0.5934915542602539,
18,474,,0.6062406897544861
19,479,0.6428679823875427,
19,499,,0.6062406897544861
20,503,0.5968853831291199,
20,524,,0.6006075739860535
21,527,0.5492690801620483,
21,549,,0.6006075739860535
22,551,0.6310628056526184,
22,574,,0.5943852066993713
23,575,0.630807101726532,
23,599,0.5392962694168091,
23,599,,0.5943852066993713
24,623,0.5910664200782776,
24,624,,0.5877217650413513
25,647,0.5528408288955688,
25,649,,0.5877217650413513
26,671,0.5779559016227722,
26,674,,0.5806359648704529
27,695,0.5766801238059998,
27,699,,0.5806359648704529
28,719,0.5867624282836914,
28,724,,0.5745397210121155
29,743,0.5850139260292053,
29,749,,0.5745397210121155
30,767,0.5625576376914978,
30,774,,0.5689204335212708
31,791,0.5339776873588562,
31,799,,0.5689204335212708
32,815,0.5562324523925781,
32,824,,0.5645235180854797
33,839,0.5428723096847534,
33,849,,0.5645235180854797
34,863,0.5103399157524109,
34,874,,0.5588791966438293
35,887,0.5449537038803101,
35,899,,0.5588791966438293
36,911,0.49939146637916565,
36,924,,0.554029643535614
37,935,0.5087202191352844,
37,949,,0.554029643535614
38,959,0.5068405270576477,
38,974,,0.5503272414207458
39,983,0.5257971882820129,
39,999,,0.5503272414207458
40,1007,0.5674858093261719,
40,1024,,0.5466772317886353
41,1031,0.5339126586914062,
41,1049,,0.5466772317886353
42,1055,0.5398747324943542,
42,1074,,0.5443539023399353
43,1079,0.5649378299713135,
43,1099,,0.5443539023399353
44,1103,0.5370681285858154,
44,1124,,0.5441750288009644
45,1127,0.48161378502845764,
45,1149,,0.5441750288009644
46,1151,0.5029850006103516,
46,1174,,0.5409655570983887
47,1175,0.4964464008808136,
47,1199,0.8088834881782532,
47,1199,,0.5409655570983887
48,1223,0.5597614645957947,
48,1224,,0.5398494601249695
49,1247,0.5276620984077454,
49,1249,,0.5398494601249695
50,1271,0.4518204927444458,
50,1274,,0.5385275483131409
51,1295,0.47405731678009033,
51,1299,,0.5385275483131409
52,1319,0.5210676789283752,
52,1324,,0.5381951332092285
53,1343,0.4687177240848541,
53,1349,,0.5381951332092285
54,1367,0.4493265748023987,
54,1374,,0.5386907458305359
55,1391,0.47955238819122314,
55,1399,,0.5386907458305359
56,1415,0.4773283004760742,
56,1424,,0.5365369915962219
57,1439,0.4629332721233368,
57,1449,,0.5365369915962219
58,1463,0.5273746848106384,
58,1474,,0.5372492074966431
59,1487,0.43210557103157043,
59,1499,,0.5372492074966431
60,1511,0.511555016040802,
60,1524,,0.5360422134399414
61,1535,0.4833328425884247,
61,1549,,0.5360422134399414
62,1559,0.48205211758613586,
62,1574,,0.5367925763130188
63,1583,0.47588157653808594,
63,1599,,0.5367925763130188
64,1607,0.5038186311721802,
64,1624,,0.535717248916626
65,1631,0.4595559537410736,
65,1649,,0.535717248916626
66,1655,0.48195573687553406,
66,1674,,0.537338137626648
67,1679,0.43214714527130127,
67,1699,,0.537338137626648
68,1703,0.4899446666240692,
68,1724,,0.5350592732429504
69,1727,0.4085686504840851,
69,1749,,0.5350592732429504
70,1751,0.3975347876548767,
70,1774,,0.5382831692695618
71,1775,0.4846170246601105,
71,1799,0.42427539825439453,
71,1799,,0.5382831692695618
72,1823,0.4684235155582428,
72,1824,,0.5363091230392456
73,1847,0.4543274939060211,
73,1849,,0.5363091230392456
74,1871,0.43801403045654297,
74,1874,,0.5400041341781616
75,1895,0.40261223912239075,
75,1899,,0.5400041341781616
76,1919,0.5115278363227844,
76,1924,,0.5397204160690308
77,1943,0.4644792377948761,
77,1949,,0.5397204160690308
78,1967,0.4368925392627716,
78,1974,,0.538874626159668
