epoch,step,train_loss,validation_loss
0,5,0.6998437643051147,
0,6,,0.693423867225647
1,11,0.6975104212760925,
1,13,,0.693423867225647
2,17,0.6937147974967957,
2,20,,0.6895987391471863
3,23,0.6895453333854675,
3,27,,0.6895987391471863
4,29,0.6976856589317322,
4,34,,0.6859720349311829
5,35,0.6898674368858337,
5,41,0.674771785736084,
5,41,,0.6859720349311829
6,47,0.6884050369262695,
6,48,,0.6822455525398254
7,53,0.6815922260284424,
7,55,,0.6822455525398254
8,59,0.6816343069076538,
8,62,,0.6786424517631531
9,65,0.6807622313499451,
9,69,,0.6786424517631531
10,71,0.6887529492378235,
10,76,,0.6752456426620483
11,77,0.6762346625328064,
11,83,0.7107707262039185,
11,83,,0.6752456426620483
12,89,0.6709712147712708,
12,90,,0.6718568801879883
13,95,0.6728391647338867,
13,97,,0.6718568801879883
14,101,0.6693995594978333,
14,104,,0.6684436798095703
15,107,0.6687787175178528,
15,111,,0.6684436798095703
16,113,0.6706895232200623,
16,118,,0.6651358008384705
17,119,0.6660802960395813,
17,125,0.6608664393424988,
17,125,,0.6651358008384705
18,131,0.6713134050369263,
18,132,,0.6621045470237732
19,137,0.6643463373184204,
19,139,,0.6621045470237732
20,143,0.6659820675849915,
20,146,,0.6587039828300476
21,149,0.6669819951057434,
21,153,,0.6587039828300476
22,155,0.6603139638900757,
22,160,,0.6550787687301636
23,161,0.6547154784202576,
23,167,0.6069615483283997,
23,167,,0.6550787687301636
24,173,0.650287926197052,
24,174,,0.6517163515090942
25,179,0.6531354188919067,
25,181,,0.6517163515090942
26,185,0.6545465588569641,
26,188,,0.6484223008155823
27,191,0.6504029035568237,
27,195,,0.6484223008155823
28,197,0.6483328342437744,
28,202,,0.6450514197349548
29,203,0.6462327241897583,
29,209,0.6382891535758972,
29,209,,0.6450514197349548
30,215,0.6386500597000122,
30,216,,0.6420325040817261
31,221,0.6451428532600403,
31,223,,0.6420325040817261
32,227,0.6589619517326355,
32,230,,0.6389469504356384
33,233,0.6389915943145752,
33,237,,0.6389469504356384
34,239,0.6425225138664246,
34,244,,0.6363490223884583
35,245,0.6457663178443909,
35,251,0.6549713015556335,
35,251,,0.6363490223884583
36,257,0.6341561079025269,
36,258,,0.6336970329284668
37,263,0.6368778347969055,
37,265,,0.6336970329284668
38,269,0.647406280040741,
38,272,,0.6314114928245544
39,275,0.6318739652633667,
39,279,,0.6314114928245544
40,281,0.6327109336853027,
40,286,,0.6299159526824951
41,287,0.6390295028686523,
41,293,0.7388332486152649,
41,293,,0.6299159526824951
42,299,0.6343383193016052,
42,300,,0.6287793517112732
43,305,0.6201799511909485,
43,307,,0.6287793517112732
44,311,0.629283607006073,
44,314,,0.6272417902946472
45,317,0.6344353556632996,
45,321,,0.6272417902946472
46,323,0.6413459181785583,
46,328,,0.6257123947143555
47,329,0.6319325566291809,
47,335,0.629660427570343,
47,335,,0.6257123947143555
48,341,0.6360234022140503,
48,342,,0.6245518326759338
