epoch,step,train_loss,validation_loss
0,23,0.7127740979194641,
0,24,,0.6832870244979858
1,47,0.7251017689704895,
1,49,,0.6832870244979858
2,71,0.7059294581413269,
2,74,,0.6756792068481445
3,95,0.6948689222335815,
3,99,,0.6756792068481445
4,119,0.7177886962890625,
4,124,,0.6686968207359314
5,143,0.6877639889717102,
5,149,,0.6686968207359314
6,167,0.6917673349380493,
6,174,,0.6613423228263855
7,191,0.6705509424209595,
7,199,,0.6613423228263855
8,215,0.6851696372032166,
8,224,,0.653389573097229
9,239,0.6653397083282471,
9,249,,0.653389573097229
10,263,0.6438830494880676,
10,274,,0.6460083723068237
11,287,0.6829814314842224,
11,299,,0.6460083723068237
12,311,0.6774234771728516,
12,324,,0.6378374695777893
13,335,0.657177209854126,
13,349,,0.6378374695777893
14,359,0.6603481769561768,
14,374,,0.6308048963546753
15,383,0.6182666420936584,
15,399,,0.6308048963546753
16,407,0.6257874369621277,
16,424,,0.6266900300979614
17,431,0.6174928545951843,
17,449,,0.6266900300979614
18,455,0.6426064372062683,
18,474,,0.6235867142677307
19,479,0.6306707859039307,
19,499,,0.6235867142677307
20,503,0.6851895451545715,
20,524,,0.621587872505188
21,527,0.6479374766349792,
21,549,,0.621587872505188
22,551,0.6687310338020325,
22,574,,0.6189507842063904
23,575,0.6349528431892395,
23,599,0.573061466217041,
23,599,,0.6189507842063904
24,623,0.6429159641265869,
24,624,,0.6171411871910095
25,647,0.6311968564987183,
25,649,,0.6171411871910095
26,671,0.6084476709365845,
26,674,,0.6149528622627258
27,695,0.6586571931838989,
27,699,,0.6149528622627258
28,719,0.6213709115982056,
28,724,,0.6126805543899536
29,743,0.6136768460273743,
29,749,,0.6126805543899536
30,767,0.5954352021217346,
30,774,,0.6107731461524963
31,791,0.601647675037384,
31,799,,0.6107731461524963
32,815,0.6517528295516968,
32,824,,0.6084597706794739
33,839,0.6008013486862183,
33,849,,0.6084597706794739
34,863,0.5522463917732239,
34,874,,0.6042165160179138
35,887,0.6363908052444458,
35,899,,0.6042165160179138
36,911,0.6021862626075745,
36,924,,0.6009461879730225
37,935,0.6360253095626831,
37,949,,0.6009461879730225
38,959,0.5952481627464294,
38,974,,0.5981524586677551
39,983,0.6457441449165344,
39,999,,0.5981524586677551
40,1007,0.6188227534294128,
40,1024,,0.5953935980796814
41,1031,0.6038961410522461,
41,1049,,0.5953935980796814
42,1055,0.6378731727600098,
42,1074,,0.5917673707008362
43,1079,0.5961914658546448,
43,1099,,0.5917673707008362
44,1103,0.5907408595085144,
44,1124,,0.5887189507484436
45,1127,0.5601929426193237,
45,1149,,0.5887189507484436
46,1151,0.6290948390960693,
46,1174,,0.585784912109375
47,1175,0.547617495059967,
47,1199,0.5473905205726624,
47,1199,,0.585784912109375
48,1223,0.6148373484611511,
48,1224,,0.582744836807251
49,1247,0.5816290378570557,
49,1249,,0.582744836807251
50,1271,0.6017340421676636,
50,1274,,0.579982340335846
51,1295,0.5715466737747192,
51,1299,,0.579982340335846
52,1319,0.5369505286216736,
52,1324,,0.5773212909698486
53,1343,0.5592315793037415,
53,1349,,0.5773212909698486
54,1367,0.5800246596336365,
54,1374,,0.5756087899208069
55,1391,0.5601745247840881,
55,1399,,0.5756087899208069
56,1415,0.5533364415168762,
56,1424,,0.571747362613678
57,1439,0.49475252628326416,
57,1449,,0.571747362613678
58,1463,0.5611456632614136,
58,1474,,0.569140613079071
59,1487,0.5833469033241272,
59,1499,,0.569140613079071
60,1511,0.5830090045928955,
60,1524,,0.5646776556968689
61,1535,0.5947481393814087,
61,1549,,0.5646776556968689
62,1559,0.506108820438385,
62,1574,,0.5615718364715576
63,1583,0.5330653190612793,
63,1599,,0.5615718364715576
64,1607,0.5304163694381714,
64,1624,,0.5590123534202576
65,1631,0.5478390455245972,
65,1649,,0.5590123534202576
66,1655,0.5983306765556335,
66,1674,,0.5555321574211121
67,1679,0.533496618270874,
67,1699,,0.5555321574211121
68,1703,0.5693647265434265,
