epoch,step,train_loss,validation_loss
0,5,0.7041902542114258,
0,6,,0.6854093074798584
1,11,0.7063568830490112,
1,13,,0.6854093074798584
2,17,0.7048467993736267,
2,20,,0.6833646297454834
3,23,0.7039700150489807,
3,27,,0.6833646297454834
4,29,0.7082635164260864,
4,34,,0.681420087814331
5,35,0.6957570314407349,
5,41,0.699127733707428,
5,41,,0.681420087814331
6,47,0.7042429447174072,
6,48,,0.6794557571411133
7,53,0.6955749988555908,
7,55,,0.6794557571411133
8,59,0.7029602527618408,
8,62,,0.6774195432662964
9,65,0.6961784362792969,
9,69,,0.6774195432662964
10,71,0.7005705237388611,
10,76,,0.6756845116615295
11,77,0.7058159708976746,
11,83,0.5921019315719604,
11,83,,0.6756845116615295
12,89,0.6924834847450256,
12,90,,0.6740278005599976
13,95,0.7058470845222473,
13,97,,0.6740278005599976
14,101,0.6869930028915405,
14,104,,0.6724513173103333
15,107,0.7012075781822205,
15,111,,0.6724513173103333
16,113,0.6810105443000793,
16,118,,0.6707953214645386
17,119,0.6880972385406494,
17,125,0.6645095944404602,
17,125,,0.6707953214645386
18,131,0.7017216086387634,
18,132,,0.6689971685409546
19,137,0.6924360394477844,
19,139,,0.6689971685409546
20,143,0.6877257823944092,
20,146,,0.6673064827919006
21,149,0.6886869072914124,
21,153,,0.6673064827919006
22,155,0.679875910282135,
22,160,,0.6657198667526245
23,161,0.6817222237586975,
23,167,0.6337635517120361,
23,167,,0.6657198667526245
24,173,0.6774601340293884,
24,174,,0.6642200946807861
25,179,0.6819944381713867,
25,181,,0.6642200946807861
26,185,0.6860201954841614,
26,188,,0.6628199219703674
27,191,0.6897127032279968,
27,195,,0.6628199219703674
28,197,0.6798068284988403,
28,202,,0.6612097024917603
29,203,0.6758647561073303,
29,209,0.6174606680870056,
29,209,,0.6612097024917603
30,215,0.6762787103652954,
30,216,,0.659542977809906
31,221,0.6755433082580566,
31,223,,0.659542977809906
32,227,0.6730397939682007,
32,230,,0.657784104347229
33,233,0.6693037748336792,
33,237,,0.657784104347229
34,239,0.6871726512908936,
34,244,,0.6560792922973633
35,245,0.6818211674690247,
35,251,0.6380327939987183,
35,251,,0.6560792922973633
36,257,0.6865265369415283,
36,258,,0.6543115973472595
37,263,0.6838368773460388,
37,265,,0.6543115973472595
38,269,0.6788508892059326,
38,272,,0.6526532173156738
39,275,0.6571424603462219,
39,279,,0.6526532173156738
40,281,0.6613491177558899,
40,286,,0.6509188413619995
41,287,0.6647332310676575,
41,293,0.7125161290168762,
41,293,,0.6509188413619995
42,299,0.6653926372528076,
42,300,,0.6495200395584106
43,305,0.6559507846832275,
43,307,,0.6495200395584106
44,311,0.6572234034538269,
44,314,,0.6477966904640198
45,317,0.6649816632270813,
45,321,,0.6477966904640198
46,323,0.668343186378479,
46,328,,0.6462751030921936
47,329,0.665503978729248,
47,335,0.6689513325691223,
47,335,,0.6462751030921936
48,341,0.657852053642273,
48,342,,0.6447493433952332
49,347,0.6681459546089172,
49,349,,0.6447493433952332
50,353,0.6578396558761597,
50,356,,0.6434224843978882
51,359,0.6618602871894836,
51,363,,0.6434224843978882
52,365,0.6561992764472961,
52,370,,0.6417475342750549
53,371,0.670016348361969,
53,377,0.772320568561554,
53,377,,0.6417475342750549
54,383,0.6574228405952454,
54,384,,0.6403915882110596
55,389,0.6621374487876892,
55,391,,0.6403915882110596
56,395,0.6652837991714478,
56,398,,0.6390731930732727
57,401,0.6483548283576965,
57,405,,0.6390731930732727
58,407,0.6527102589607239,
58,412,,0.6373164653778076
59,413,0.638081431388855,
59,419,0.7089241743087769,
59,419,,0.6373164653778076
60,425,0.6523622870445251,
60,426,,0.6359517574310303
61,431,0.6493909955024719,
61,433,,0.6359517574310303
62,437,0.6538476943969727,
62,440,,0.634467601776123
63,443,0.6611254811286926,
63,447,,0.634467601776123
64,449,0.6555176377296448,
64,454,,0.6330515146255493
65,455,0.6565691828727722,
65,461,0.6965611577033997,
65,461,,0.6330515146255493
66,467,0.6557093858718872,
66,468,,0.6316731572151184
67,473,0.6544170379638672,
67,475,,0.6316731572151184
68,479,0.6511662006378174,
68,482,,0.6301003694534302
69,485,0.6555643081665039,
69,489,,0.6301003694534302
70,491,0.6400335431098938,
70,496,,0.6287281513214111
71,497,0.6400048136711121,
71,503,0.7304297685623169,
71,503,,0.6287281513214111
72,509,0.628756582736969,
72,510,,0.6276785135269165
73,515,0.6534711718559265,
73,517,,0.6276785135269165
74,521,0.6445451974868774,
74,524,,0.6265544891357422
75,527,0.6547102332115173,
75,531,,0.6265544891357422
76,533,0.6358547210693359,
76,538,,0.6252326369285583
77,539,0.6355469226837158,
77,545,0.5705177783966064,
77,545,,0.6252326369285583
78,551,0.646953821182251,
78,552,,0.6239198446273804
79,557,0.6440058946609497,
79,559,,0.6239198446273804
80,563,0.6452275514602661,
80,566,,0.6228536367416382
81,569,0.6357526779174805,
81,573,,0.6228536367416382
82,575,0.6511282324790955,
82,580,,0.6220086216926575
83,581,0.662511944770813,
83,587,0.6838523149490356,
83,587,,0.6220086216926575
84,593,0.6475942134857178,
84,594,,0.6215001940727234
85,599,0.6395218968391418,
85,601,,0.6215001940727234
86,605,0.6370105743408203,
86,608,,0.620764434337616
87,611,0.6215844750404358,
87,615,,0.620764434337616
88,617,0.6234241127967834,
88,622,,0.6202607750892639
89,623,0.6436763405799866,
89,629,0.6537933349609375,
89,629,,0.6202607750892639
90,635,0.6510815620422363,
90,636,,0.6197525858879089
91,641,0.6278670430183411,
91,643,,0.6197525858879089
92,647,0.6255391240119934,
92,650,,0.6190204620361328
93,653,0.6262299418449402,
93,657,,0.6190204620361328
94,659,0.64146888256073,
94,664,,0.6190385818481445
95,665,0.6302297115325928,
95,671,0.6361677646636963,
95,671,,0.6190385818481445
96,677,0.6198281645774841,
96,678,,0.6187548637390137
97,683,0.6043135523796082,
97,685,,0.6187548637390137
98,689,0.638410210609436,
98,692,,0.618078887462616
99,695,0.6207455396652222,
99,699,,0.618078887462616
100,701,0.6268987059593201,
100,706,,0.6176221966743469
101,707,0.6152371764183044,
101,713,0.6870669722557068,
101,713,,0.6176221966743469
102,719,0.6183589100837708,
102,720,,0.6172763109207153
103,725,0.6265026926994324,
103,727,,0.6172763109207153
104,731,0.6419280171394348,
104,734,,0.6171095371246338
105,737,0.623731791973114,
105,741,,0.6171095371246338
106,743,0.6250616908073425,
106,748,,0.6171953082084656
107,749,0.6264645457267761,
107,755,0.538446307182312,
107,755,,0.6171953082084656
108,761,0.6255248785018921,
108,762,,0.6164789795875549
109,767,0.6417985558509827,
109,769,,0.6164789795875549
110,773,0.6234592795372009,
110,776,,0.6157593131065369
111,779,0.6384003162384033,
111,783,,0.6157593131065369
112,785,0.6168089509010315,
112,790,,0.6149032711982727
113,791,0.6389918327331543,
113,797,0.7156040668487549,
113,797,,0.6149032711982727
114,803,0.6462677121162415,
114,804,,0.6143052577972412
115,809,0.6502893567085266,
115,811,,0.6143052577972412
116,815,0.601139485836029,
116,818,,0.6135321855545044
117,821,0.6457629203796387,
117,825,,0.6135321855545044
118,827,0.6280874609947205,
118,832,,0.6130834221839905
119,833,0.6388312578201294,
119,839,0.5907047390937805,
119,839,,0.6130834221839905
120,845,0.6184554100036621,
120,846,,0.6125527620315552
121,851,0.6266615986824036,
121,853,,0.6125527620315552
122,857,0.6342867016792297,
122,860,,0.6123168468475342
123,863,0.6217888593673706,
123,867,,0.6123168468475342
124,869,0.618188738822937,
124,874,,0.6117777824401855
125,875,0.6312978863716125,
125,881,0.8083047866821289,
125,881,,0.6117777824401855
126,887,0.646418035030365,
126,888,,0.6113873720169067
127,893,0.6346005201339722,
127,895,,0.6113873720169067
128,899,0.6316588521003723,
128,902,,0.6107615232467651
129,905,0.619500458240509,
129,909,,0.6107615232467651
130,911,0.6444094181060791,
130,916,,0.610041618347168
131,917,0.6145236492156982,
131,923,0.6075608134269714,
131,923,,0.610041618347168
132,929,0.6336044669151306,
132,930,,0.6093549728393555
133,935,0.641094982624054,
133,937,,0.6093549728393555
134,941,0.632191002368927,
134,944,,0.6090251803398132
135,947,0.622674286365509,
135,951,,0.6090251803398132
136,953,0.6250784993171692,
136,958,,0.6083595156669617
137,959,0.6364079713821411,
137,965,0.6191024780273438,
137,965,,0.6083595156669617
138,971,0.6057262420654297,
138,972,,0.6074405908584595
139,977,0.6322924494743347,
139,979,,0.6074405908584595
140,983,0.6220489144325256,
140,986,,0.606587827205658
141,989,0.6282705664634705,
141,993,,0.606587827205658
142,995,0.6180046200752258,
142,1000,,0.6056417226791382
143,1001,0.6293332576751709,
143,1007,0.7960651516914368,
143,1007,,0.6056417226791382
144,1013,0.6143343448638916,
144,1014,,0.6049111485481262
145,1019,0.6227439045906067,
145,1021,,0.6049111485481262
146,1025,0.6129979491233826,
146,1028,,0.6037520170211792
147,1031,0.6418947577476501,
147,1035,,0.6037520170211792
148,1037,0.6113396883010864,
148,1042,,0.6028483510017395
149,1043,0.6008665561676025,
149,1049,0.614909827709198,
149,1049,,0.6028483510017395
150,1055,0.6205806136131287,
150,1056,,0.602288007736206
151,1061,0.6100606918334961,
151,1063,,0.602288007736206
152,1067,0.6236352920532227,
152,1070,,0.6019666194915771
153,1073,0.6439021229743958,
153,1077,,0.6019666194915771
154,1079,0.6154877543449402,
154,1084,,0.6013773083686829
155,1085,0.6046743392944336,
155,1091,0.6380053758621216,
155,1091,,0.6013773083686829
156,1097,0.6180793046951294,
156,1098,,0.6004015207290649
157,1103,0.59892338514328,
157,1105,,0.6004015207290649
158,1109,0.619779109954834,
158,1112,,0.5992462038993835
159,1115,0.6189717054367065,
159,1119,,0.5992462038993835
160,1121,0.6103342175483704,
160,1126,,0.5978885889053345
161,1127,0.610322117805481,
161,1133,0.6244880557060242,
161,1133,,0.5978885889053345
162,1139,0.6095141172409058,
162,1140,,0.5970906615257263
163,1145,0.6222909092903137,
163,1147,,0.5970906615257263
164,1151,0.5901876091957092,
164,1154,,0.5964853167533875
165,1157,0.6053845286369324,
165,1161,,0.5964853167533875
166,1163,0.6108685731887817,
166,1168,,0.5954424738883972
167,1169,0.6036991477012634,
167,1175,0.621303915977478,
167,1175,,0.5954424738883972
168,1181,0.5877687335014343,
168,1182,,0.5945733785629272
169,1187,0.6084011793136597,
169,1189,,0.5945733785629272
170,1193,0.5957164168357849,
170,1196,,0.5934928059577942
171,1199,0.6000325679779053,
171,1203,,0.5934928059577942
172,1205,0.591612696647644,
172,1210,,0.5921348929405212
173,1211,0.6116345524787903,
173,1217,0.6062589287757874,
173,1217,,0.5921348929405212
174,1223,0.6091457009315491,
174,1224,,0.5913481116294861
175,1229,0.6257175803184509,
175,1231,,0.5913481116294861
176,1235,0.6070936918258667,
176,1238,,0.5902733206748962
177,1241,0.5987734198570251,
177,1245,,0.5902733206748962
178,1247,0.5971773862838745,
178,1252,,0.5893341302871704
179,1253,0.6103956699371338,
179,1259,0.6978620886802673,
179,1259,,0.5893341302871704
180,1265,0.5758107900619507,
180,1266,,0.5874678492546082
181,1271,0.5980875492095947,
181,1273,,0.5874678492546082
182,1277,0.624771773815155,
182,1280,,0.5855323076248169
183,1283,0.6150868535041809,
183,1287,,0.5855323076248169
184,1289,0.5815109610557556,
184,1294,,0.583865225315094
185,1295,0.5697962641716003,
185,1301,0.5736328959465027,
185,1301,,0.583865225315094
186,1307,0.5894396901130676,
186,1308,,0.5827458500862122
187,1313,0.603114902973175,
187,1315,,0.5827458500862122
188,1319,0.5966520309448242,
188,1322,,0.5816773772239685
189,1325,0.5867487788200378,
189,1329,,0.5816773772239685
190,1331,0.5935894846916199,
190,1336,,0.5805811882019043
191,1337,0.5857325792312622,
191,1343,0.6158439517021179,
191,1343,,0.5805811882019043
192,1349,0.5855587124824524,
192,1350,,0.579292356967926
193,1355,0.5810441970825195,
193,1357,,0.579292356967926
194,1361,0.6118444800376892,
194,1364,,0.5788640379905701
195,1367,0.5806557536125183,
195,1371,,0.5788640379905701
196,1373,0.5896822810173035,
196,1378,,0.5772880911827087
197,1379,0.5828689932823181,
197,1385,0.5844352841377258,
197,1385,,0.5772880911827087
198,1391,0.5918297171592712,
198,1392,,0.5753938555717468
199,1397,0.587810218334198,
199,1399,,0.5753938555717468
