epoch,step,train_loss,validation_loss
0,5,0.7431758046150208,
0,6,,0.7086138725280762
1,11,0.7398024201393127,
1,13,,0.7086138725280762
2,17,0.7302501797676086,
2,20,,0.7049779295921326
3,23,0.7225794792175293,
3,27,,0.7049779295921326
4,29,0.7151952385902405,
4,34,,0.7016181349754333
5,35,0.7175214886665344,
5,41,0.715878963470459,
5,41,,0.7016181349754333
6,47,0.7108388543128967,
6,48,,0.6984918713569641
7,53,0.7216092348098755,
7,55,,0.6984918713569641
8,59,0.7305721640586853,
8,62,,0.695515513420105
9,65,0.7248184680938721,
9,69,,0.695515513420105
10,71,0.7119898200035095,
10,76,,0.6925281882286072
11,77,0.7099010944366455,
11,83,0.8029917478561401,
11,83,,0.6925281882286072
12,89,0.7036275863647461,
12,90,,0.6895152926445007
13,95,0.6951085329055786,
13,97,,0.6895152926445007
14,101,0.7018774151802063,
14,104,,0.6867129802703857
15,107,0.7085289359092712,
15,111,,0.6867129802703857
16,113,0.6990039348602295,
16,118,,0.6842677593231201
17,119,0.70613032579422,
17,125,0.7364940047264099,
17,125,,0.6842677593231201
18,131,0.7060257792472839,
18,132,,0.6815975904464722
19,137,0.6974724531173706,
19,139,,0.6815975904464722
20,143,0.707722544670105,
20,146,,0.6789759993553162
21,149,0.692729651927948,
21,153,,0.6789759993553162
22,155,0.7036550641059875,
22,160,,0.676665186882019
23,161,0.6891714334487915,
23,167,0.6474235653877258,
23,167,,0.676665186882019
24,173,0.6951766014099121,
24,174,,0.6739553809165955
25,179,0.6844595074653625,
25,181,,0.6739553809165955
26,185,0.6861503720283508,
26,188,,0.671612024307251
27,191,0.699842631816864,
27,195,,0.671612024307251
28,197,0.6837734580039978,
28,202,,0.669253408908844
29,203,0.6921462416648865,
29,209,0.7540001273155212,
29,209,,0.669253408908844
30,215,0.679874837398529,
30,216,,0.6668360233306885
31,221,0.6950826048851013,
31,223,,0.6668360233306885
32,227,0.6930487751960754,
32,230,,0.6643235087394714
33,233,0.6888226270675659,
33,237,,0.6643235087394714
34,239,0.6969641447067261,
34,244,,0.6618779897689819
35,245,0.6895861029624939,
35,251,0.6907604932785034,
35,251,,0.6618779897689819
36,257,0.6802183389663696,
36,258,,0.6593509316444397
37,263,0.6799834370613098,
37,265,,0.6593509316444397
38,269,0.6865667700767517,
38,272,,0.656675398349762
39,275,0.6653637290000916,
39,279,,0.656675398349762
40,281,0.6741665005683899,
40,286,,0.6542650461196899
41,287,0.6774081587791443,
41,293,0.5843639373779297,
41,293,,0.6542650461196899
42,299,0.6807168126106262,
42,300,,0.6517788171768188
43,305,0.674171507358551,
43,307,,0.6517788171768188
44,311,0.6709261536598206,
44,314,,0.6492874026298523
45,317,0.6668540835380554,
45,321,,0.6492874026298523
46,323,0.6705470085144043,
46,328,,0.6468857526779175
47,329,0.6645917892456055,
47,335,0.6582961678504944,
47,335,,0.6468857526779175
48,341,0.6629703640937805,
48,342,,0.6442985534667969
49,347,0.6605848073959351,
49,349,,0.6442985534667969
50,353,0.6655778884887695,
50,356,,0.6420304775238037
51,359,0.6680342555046082,
51,363,,0.6420304775238037
52,365,0.6664841771125793,
52,370,,0.6394810676574707
53,371,0.6582041382789612,
53,377,0.6667041182518005,
53,377,,0.6394810676574707
54,383,0.6749456524848938,
54,384,,0.6369459629058838
55,389,0.662415087223053,
55,391,,0.6369459629058838
56,395,0.6540060043334961,
56,398,,0.6352065801620483
57,401,0.6533392667770386,
57,405,,0.6352065801620483
58,407,0.6559487581253052,
58,412,,0.6334545016288757
59,413,0.6565025448799133,
59,419,0.6633127331733704,
59,419,,0.6334545016288757
60,425,0.6553484797477722,
60,426,,0.6322219371795654
61,431,0.6546222567558289,
61,433,,0.6322219371795654
62,437,0.6358602643013,
62,440,,0.6306653618812561
63,443,0.6449754238128662,
63,447,,0.6306653618812561
64,449,0.6639554500579834,
64,454,,0.6292873620986938
65,455,0.6521347165107727,
65,461,0.4602569043636322,
65,461,,0.6292873620986938
66,467,0.6285123229026794,
66,468,,0.6279827952384949
67,473,0.6459376811981201,
67,475,,0.6279827952384949
68,479,0.6330610513687134,
68,482,,0.6273045539855957
69,485,0.6361430287361145,
69,489,,0.6273045539855957
70,491,0.6434348821640015,
70,496,,0.6268065571784973
71,497,0.6417638063430786,
71,503,0.6160812377929688,
71,503,,0.6268065571784973
72,509,0.6479185819625854,
72,510,,0.626092255115509
73,515,0.6633301377296448,
73,517,,0.626092255115509
74,521,0.6550597548484802,
74,524,,0.6259478330612183
75,527,0.6502111554145813,
75,531,,0.6259478330612183
76,533,0.6280755400657654,
76,538,,0.6257824301719666
77,539,0.6304457783699036,
77,545,0.6769071817398071,
77,545,,0.6257824301719666
78,551,0.6388371586799622,
78,552,,0.625579297542572
79,557,0.6370947360992432,
79,559,,0.625579297542572
80,563,0.6655799150466919,
80,566,,0.6251459717750549
81,569,0.6333399415016174,
81,573,,0.6251459717750549
82,575,0.6254183650016785,
82,580,,0.6245132684707642
83,581,0.6446659564971924,
83,587,0.6548239588737488,
83,587,,0.6245132684707642
84,593,0.633783757686615,
84,594,,0.6239877343177795
